 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,894580,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,13003.86774,8.942744081,127797.1429,337732.7702,893703,4,632,316,284.256926,517,115,894523,223630.75,446714.9202,893703,4,0,0,0,0,72,112,3.35352903,5.589215051,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,894545,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,13004.37653,7.825207228,149090.8333,364816.347,893769,5,695,347.5,283.5498193,548,147,894485,298161.6667,515811.2021,893769,5,0,0,0,0,72,92,3.353660241,4.471546988,0,11595,1454.125,4097.537534,16800000,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,6094855,6,0,36,0,6,6,6,0,0,0,0,0,5.90662124,0.984436873,1218971,2725143.035,6093855,1,6094855,1218971,2725143.035,6093855,1,0,0,0,0,0,0,0,0,0,120,0,0.984436873,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7,6,0,120,0,0,0,0,0,0,6,36,0,0,256,-1,5,20,1000,0,1000,1000,6093855,0,6093855,6093855,DDoS
80,892210,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,13038.41024,8.966498918,127458.5714,336896.9767,891469,4,529,264.5,347.1894296,510,19,892193,223048.25,445613.8949,891469,4,0,0,0,0,72,112,3.362437094,5.604061824,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,6104903,6,0,36,0,6,6,6,0,0,0,0,0,5.89689959,0.982816598,1220980.6,2729065.335,6102881,1,6104903,1220980.6,2729065.335,6102881,1,0,0,0,0,0,0,0,0,0,120,0,0.982816598,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7,6,0,120,0,0,0,0,0,0,6,36,0,0,256,-1,5,20,2022,0,2022,2022,6102881,0,6102881,6102881,DDoS
80,90930,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,127933.5753,98.97723524,11366.25,31826.85462,90133,3,495,247.5,345.775216,492,3,90848,18169.6,40229.14545,90133,15,0,0,0,0,72,132,32.99241175,65.98482349,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,6077458,6,0,36,0,6,6,6,0,0,0,0,0,5.923529212,0.987254869,1215491.6,2716808.886,6075467,3,6077458,1215491.6,2716808.886,6075467,3,0,0,0,0,0,0,0,0,0,120,0,0.987254869,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7,6,0,120,0,0,0,0,0,0,6,36,0,0,256,-1,5,20,1991,0,1991,1991,6075467,0,6075467,6075467,DDoS
80,93027,3,5,26,11607,20,0,8.666666667,10.26320288,8760,0,2321.4,3802.315321,125049.7167,85.99653864,13289.57143,34728.76313,92046,2,694,347,485.0752519,690,4,92858,23214.5,45888.40197,92046,2,0,0,0,0,72,112,32.24870199,53.74783665,0,8760,1292.555556,2952.520834,8717379.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,6075264,5,0,30,0,6,6,6,0,0,0,0,0,4.938057013,0.823009502,1518816,3037145.333,6074534,226,6075264,1518816,3037145.333,6074534,226,0,0,0,0,0,0,0,0,0,100,0,0.823009502,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,730,0,730,730,6074534,0,6074534,6074534,DDoS
80,93021,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,125057.7827,75.25182486,15503.5,37554.46421,92160,5,791,395.5,490.0249994,742,49,92865,30955,53006.22393,92160,5,0,0,0,0,72,92,32.25078208,43.00104278,0,11595,1454.125,4097.537534,16800000,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,6074303,5,0,30,0,6,6,6,0,0,0,0,0,4.93883825,0.823139708,1518575.75,3036534.168,6073377,205,6074303,1518575.75,3036534.168,6073377,205,0,0,0,0,0,0,0,0,0,100,0,0.823139708,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,926,0,926,926,6073377,0,6073377,6073377,DDoS
80,99291,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,117160.6691,90.64265643,12411.375,34726.16671,98353,2,799,399.5,412.2432534,691,108,99183,19836.6,43893.20271,98353,2,0,0,0,0,72,132,30.21421881,60.42843762,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,6070353,5,0,30,0,6,6,6,0,0,0,0,0,4.94205197,0.823675328,1517588.25,3034583.168,6069463,216,6070353,1517588.25,3034583.168,6069463,216,0,0,0,0,0,0,0,0,0,100,0,0.823675328,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,890,0,890,890,6069463,0,6069463,6069463,DDoS
80,104424,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,111401.5935,86.18708343,13053,36550.6366,103510,2,753,376.5,388.2016229,651,102,104362,20872.4,46196.85975,103510,2,0,0,0,0,72,132,28.72902781,57.45805562,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,6064822,5,0,30,0,6,6,6,0,0,0,0,0,4.946559025,0.824426504,1516205.5,3032063.001,6064300,45,6064822,1516205.5,3032063.001,6064300,45,0,0,0,0,0,0,0,0,0,100,0,0.824426504,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,522,0,522,522,6064300,0,6064300,6064300,DDoS
80,104601,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,111213.0859,86.04124244,13075.125,36636.00876,103743,3,719,359.5,432.0422433,665,54,104592,20918.4,46301.52263,103743,3,0,0,0,0,72,132,28.68041415,57.36082829,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,6064022,5,0,30,0,6,6,6,0,0,0,0,0,4.947211603,0.824535267,1516005.5,3031547,6063326,203,6064022,1516005.5,3031547,6063326,203,0,0,0,0,0,0,0,0,0,100,0,0.824535267,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,696,0,696,696,6063326,0,6063326,6063326,DDoS
80,104761,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,111043.2317,66.81875889,17460.16667,42334.25832,103873,4,878,439,414.3645738,732,146,104713,34904.33333,59730.05217,103873,6,0,0,0,0,72,92,28.63661095,38.18214794,0,11595,1454.125,4097.537534,16800000,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,6062208,5,0,30,0,6,6,6,0,0,0,0,0,4.948691962,0.824781994,1515552,3030570.667,6061408,235,6062208,1515552,3030570.667,6061408,235,0,0,0,0,0,0,0,0,0,100,0,0.824781994,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,800,0,800,800,6061408,0,6061408,6061408,DDoS
80,277631,3,5,26,11607,20,0,8.666666667,10.26320288,7300,0,2321.4,3346.363967,41900.94046,28.81522597,39661.57143,104454.6919,276542,2,856,428,400.2224382,711,145,277584,69396,138097.8233,276542,2,0,0,0,0,72,112,10.80570974,18.00951623,0,7300,1292.555556,2662.264877,7087654.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,5882894,5,0,30,0,6,6,6,0,0,0,0,0,5.099530945,0.849921824,1470723.5,2940779.037,5881892,3,5882894,1470723.5,2940779.037,5881892,3,0,0,0,0,0,0,0,0,0,100,0,0.849921824,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1002,0,1002,1002,5881892,0,5881892,5881892,DDoS
80,276542,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,42065.94297,32.54478524,34567.75,97324.46524,275433,14,822,411,376.1808076,677,145,276493,55298.6,123059.2849,275433,14,0,0,0,0,72,132,10.84826175,21.69652349,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,5890894,6,0,36,0,6,6,6,0,0,0,0,0,6.111126766,1.018521128,1178178.8,2633936.73,5889908,1,5890894,1178178.8,2633936.73,5889908,1,0,0,0,0,0,0,0,0,0,120,0,1.018521128,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7,6,0,120,0,0,0,0,0,0,6,36,0,0,256,-1,5,20,986,0,986,986,5889908,0,5889908,5889908,DDoS
80,276438,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,42081.76879,32.55702906,34554.75,97294.55911,275346,2,763,381.5,385.3731957,654,109,276390,55278,123022.1636,275346,2,0,0,0,0,72,132,10.85234302,21.70468604,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,5891814,6,0,36,0,6,6,6,0,0,0,0,0,6.110172521,1.018362087,1178362.8,2633771.834,5889797,1,5891814,1178362.8,2633771.834,5889797,1,0,0,0,0,0,0,0,0,0,120,0,1.018362087,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7,6,0,120,0,0,0,0,0,0,6,36,0,0,256,-1,5,20,2017,0,2017,2017,5889797,0,5889797,5889797,DDoS
80,245521,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,47380.87577,28.51079948,40920.16667,99764.34886,244563,37,668,334,420.021428,631,37,245406,81802,140955.3625,244563,183,0,0,0,0,72,92,12.21891406,16.29188542,0,11595,1454.125,4097.537534,16800000,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
